Tag_Name,Text,Attributes,Description
link,,"{'rel': ['mw-deduplicated-inline-style'], 'href': 'mw-data:TemplateStyles:r1238218222'}",HTML <link> tag from page about Nepal
cite,"Tiwari, Sudarshan Raj (2002).The Brick and the Bull: An account of Handigaun, the Ancient Capital of Nepal. Himal Books.ISBN978-99933-43-52-3.","{'id': 'CITEREFTiwari2002', 'class': ['citation', 'book', 'cs1']}",HTML <cite> tag from page about Nepal
i,"The Brick and the Bull: An account of Handigaun, the Ancient Capital of Nepal",{},HTML <i> tag from page about Nepal
a,ISBN,"{'href': '/wiki/ISBN_(identifier)', 'class': ['mw-redirect'], 'title': 'ISBN (identifier)'}",HTML <a> tag from page about Nepal
a,978-99933-43-52-3,"{'href': '/wiki/Special:BookSources/978-99933-43-52-3', 'title': 'Special:BookSources/978-99933-43-52-3'}",HTML <a> tag from page about Nepal
bdi,978-99933-43-52-3,{},HTML <bdi> tag from page about Nepal
span,,"{'title': 'ctx_ver=Z39.88-2004&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&rft.genre=book&rft.btitle=The+Brick+and+the+Bull%3A+An+account+of+Handigaun%2C+the+Ancient+Capital+of+Nepal&rft.pub=Himal+Books&rft.date=2002&rft.isbn=978-99933-43-52-3&rft.aulast=Tiwari&rft.aufirst=Sudarshan+Raj&rfr_id=info%3Asid%2Fen.wikipedia.org%3ANepal', 'class': ['Z3988']}",HTML <span> tag from page about Nepal
li,"Crossette, Barbara (1995).So Close to Heaven: The Vanishing Buddhist Kingdoms of the Himalayas. New York: Vintage.ISBN978-0-679-74363-7.",{},HTML <li> tag from page about Nepal
link,,"{'rel': ['mw-deduplicated-inline-style'], 'href': 'mw-data:TemplateStyles:r1238218222'}",HTML <link> tag from page about Nepal
cite,"Crossette, Barbara (1995).So Close to Heaven: The Vanishing Buddhist Kingdoms of the Himalayas. New York: Vintage.ISBN978-0-679-74363-7.","{'id': 'CITEREFCrossette1995', 'class': ['citation', 'book', 'cs1']}",HTML <cite> tag from page about Nepal
i,So Close to Heaven: The Vanishing Buddhist Kingdoms of the Himalayas,{},HTML <i> tag from page about Nepal
a,ISBN,"{'href': '/wiki/ISBN_(identifier)', 'class': ['mw-redirect'], 'title': 'ISBN (identifier)'}",HTML <a> tag from page about Nepal
